,overall,men,women,ncgmen,ncgwomen,cgmen,cgwomen
regularworkage25to71,0.809,0.802,0.816,0.808,0.802,0.792,0.839
seasonalworkage25to71,0.094,0.106,0.081,0.094,0.071,0.127,0.098
unpredictableworkage25to71,0.097,0.092,0.102,0.098,0.127,0.081,0.063
samehoursage25to71,0.537,0.49,0.592,0.489,0.65,0.492,0.502
fixedstartfinishage25to71,0.495,0.459,0.537,0.501,0.605,0.381,0.43
shiftworkage25to71,0.323,0.314,0.334,0.377,0.446,0.197,0.159
regularworkunderage35,0.784,0.769,0.803,0.775,0.761,0.763,0.858
seasonalworkunderage35,0.126,0.146,0.098,0.137,0.089,0.156,0.111
unpredictableworkunderage35,0.09,0.085,0.098,0.088,0.15,0.081,0.031
samehoursunderage35,0.537,0.49,0.592,0.489,0.65,0.492,0.502
fixedstartfinishunderage35,0.468,0.422,0.532,0.457,0.614,0.381,0.425
shiftworkunderage35,0.333,0.285,0.4,0.316,0.573,0.248,0.175
regularworkage35to49,0.85,0.866,0.83,0.861,0.809,0.88,0.868
seasonalworkage35to49,0.062,0.054,0.071,0.053,0.061,0.058,0.088
unpredictableworkage35to49,0.089,0.08,0.099,0.086,0.13,0.062,0.044
samehoursage35to49,0.537,0.49,0.592,0.489,0.65,0.492,0.502
fixedstartfinishage35to49,0.514,0.484,0.548,0.496,0.588,0.45,0.477
shiftworkage35to49,0.373,0.378,0.366,0.446,0.46,0.189,0.2
regularworkoverage50,0.785,0.761,0.811,0.765,0.817,0.753,0.8
seasonalworkoverage50,0.106,0.129,0.091,0.117,0.07,0.151,0.098
unpredictableworkoverage50,0.109,0.11,0.108,0.118,0.112,0.096,0.102
samehoursoverage50,0.537,0.49,0.592,0.489,0.65,0.492,0.502
fixedstartfinishoverage50,0.495,0.462,0.53,0.535,0.617,0.33,0.393
shiftworkoverage50,0.267,0.269,0.265,0.333,0.363,0.153,0.112
