,overall,men,women,ncgmen,ncgwomen,cgmen,cgwomen
earningsage25to71all,42000,50324,35000,36000,27000,58000,45000
earningsage25to71fulltime,50000,54000,44000,40000,30000,60000,52000
earningsunderage35all,40000,45000,34000,30000,24000,52000,44720
earningsunderage35fulltime,45000,47000,43467,30000,27000,53000,50000
earningsage35to49all,45000,55000,38000,43000,29000,64000,45000
earningsage35to49fulltime,51000,58000,44000,50000,30000,69000,53000
earningsoverage50all,42000,53000,35000,35000,30000,61000,45000
earningsoverage50fulltime,53000,60000,45000,40000,32000,69000,57000
